ID,RAh,RAm,RAs,DEd,DEm,DEs,D,rho,L10,LL14,XMM,X-ray,Prev,New,Confirm,FHa,f_Hb,Hb,f_[OIII],[OIII],f_[OI],[OI],Ha,f_[NII],[NII],f_[SII]6717,[SII]6717,f_[SII]6731,[SII]6731,f_[SII]/Ha,[SII]/Ha,FWHM
L10-031,01,33,22.67,30,27,04.0,23,3.3,L10-031,LL14-052,XMM-057,yes,L10,yes,yes,100,,90,,227,,68,300,,103,,183,,136,,1.06,5.8
L10-097,01,34,11.04,30,38,59.9,18,1.8,L10-097,LL14-141,XMM-154,yes,G98,yes,yes,96,,80,,159,,61,300,,118,,153,,117,,0.90,5.6
L10-094,01,34,08.37,30,46,33.2,23,1.9,L10-094,LL14-138,XMM-151,yes,L10,yes,yes,96,~,75,,344,~,14,300,,110,,131,,102,,0.78,5.1
L10-027,01,33,17.44,30,31,28.5,48,2.9,L10-027,LL14-042,XMM-046,yes,G98,yes,yes,93,,81,~,27,,62,300,,76,,163,,113,,0.92,5.1
L10-092,01,34,07.23,30,36,22.0,105,1.9,L10-092,LL14-135,XMM-148,yes,S93,yes,yes,79,,81,,100,,42,300,,106,,143,,99,,0.81,4.9
L10-081,01,33,58.51,30,33,32.3,38,2.0,L10-081,LL14-119,XMM-132,yes,S93,yes,yes,77,~,66,,164,,,300,,89,,111,,82,,0.64,4.8
L10-046,01,33,37.09,30,32,53.5,42,1.8,L10-046,LL14-076,XMM-083,yes,L10,yes,yes,77,~,89,,68,,67,300,,99,,171,,126,,0.99,5.7
L10-044,01,33,35.61,30,49,23.0,32,3.4,L10-044,LL14-073,XMM-080,yes,L10,yes,yes,68,~,78,,58,,97,300,,90,,174,,122,,0.99,6.0
L10-107,01,34,15.57,30,32,59.9,37,3.3,L10-107,LL14-155,XMM-169,yes,S93,yes,yes,66,,85,,247,~,34,300,,93,,141,,100,,0.80,6.0
L10-016,01,33,02.93,30,32,29.6,55,3.9,L10-016,LL14-027,XMM-030,yes,L10,yes,yes,65,,91,,140,,48,300,,72,,125,,89,,0.72,5.2
L10-108,01,34,16.31,30,52,32.7,80,3.3,L10-108,LL14-156,XMM-170,yes,L10,yes,yes,60,,95,,98,~,14,300,,61,,95,,71,,0.55,4.9
L10-105,01,34,14.41,30,53,51.9,53,3.6,L10-105,LL14-152,XMM-165,yes,G98,yes,yes,57,,82,,131,,62,300,,83,,171,,121,,0.97,5.8
L10-111,01,34,17.61,30,41,23.3,55,2.2,L10-111,LL14-159,XMM-173,yes,S93,yes,yes,55,,74,,183,~,47,300,,120,,172,,116,,0.96,7.7
L10-084,01,34,00.31,30,42,19.4,36,0.9,L10-084,LL14-123,XMM-136,yes,L10,yes,yes,55,~,61,,409,~,39,300,,178,,214,,148,,1.20,9.0
L10-010,01,32,56.15,30,40,36.4,97,4.9,L10-010,LL14-021,XMM-022,yes,S93,yes,yes,55,,91,,55,,50,300,,53,,125,,93,,0.73,5.3
L10-022,01,33,10.18,30,42,22.0,31,3.9,L10-022,LL14-034,XMM-038,yes,L10,yes,yes,53,,89,,95,,79,300,,77,,146,,104,,0.83,5.1
L10-086,01,34,00.60,30,49,04.2,17,2.4,L10-086,LL14-126,XMM-139,yes,L10,yes,yes,48,,71,,85,~,69,300,,90,,95,,96,,0.64,5.1
L10-104,01,34,14.38,30,39,41.6,42,2.0,L10-104,LL14-151,XMM-166,yes,S93,yes,yes,45,~,73,,46,~,80,300,,101,,172,,132,,1.01,5.5
L10-117,01,34,25.09,30,54,58.1,70,4.1,L10-117,LL14-169,XMM-183,yes,L10,yes,yes,45,,91,,81,~,58,300,,73,,146,,100,,0.82,6.1
L10-064,01,33,50.12,30,35,28.6,52,1.1,L10-064,LL14-099,XMM-110,yes,S93,yes,yes,41,~,60,,242,,,300,,101,,129,,90,,0.73,5.5
L10-087,01,34,01.34,30,35,20.2,51,1.7,L10-087,LL14-127,XMM-140,yes,L10,yes,yes,41,,65,,75,,,300,,87,,137,,106,,0.81,5.0
L10-100,01,34,13.65,30,43,27.0,29,1.8,L10-100,LL14-146,XMM-160,yes,S93,yes,yes,37,,69,,292,,,300,,98,,152,,106,,0.86,5.8
L10-082,01,33,58.52,30,51,54.3,60,3.1,L10-082,LL14-118,XMM-131,yes,G98,yes,yes,33,~,65,,303,~,41,300,,95,,180,,123,,1.01,6.2
L10-005,01,32,46.73,30,34,37.8,49,5.2,L10-005,LL14-013,XMM-015,yes,L10,yes,yes,32,,70,,301,~,39,300,,55,,122,,83,,0.69,5.3
L10-118,01,34,25.41,30,48,30.9,56,3.0,L10-118,LL14-170,XMM-184,yes,G98,yes,yes,30,~,70,~,67,,,300,,64,,122,,94,,0.72,5.5
L10-088,01,34,02.24,30,31,06.8,64,2.9,L10-088,LL14-129,XMM-142,yes,S93,yes,yes,30,,67,,113,~,59,300,,102,,170,,131,,1.00,5.1
L10-013,01,33,00.42,30,44,08.1,37,5.0,L10-013,LL14-024,XMM-027,yes,G98,yes,yes,29,,110,,359,,,300,,42,,94,,57,,0.50,5.8
L10-121,01,34,30.29,30,35,44.8,57,4.0,L10-121,LL14-175,XMM-188,yes,G98,yes,yes,28,,70,,295,,,300,,52,,75,,46,,0.40,7.1
L10-006,01,32,52.76,30,38,12.6,60,4.9,L10-006,LL14-015,XMM-017,yes,S93,yes,yes,28,,116,,257,~,26,300,,64,,91,,65,,0.52,5.3
L10-037,01,33,29.45,30,49,10.8,35,3.8,L10-037,LL14-062,XMM-068,yes,G98,yes,yes,26,,85,,286,~,31,300,,78,,117,,91,,0.69,6.2
L10-093,01,34,07.50,30,37,08.0,23,1.8,L10-093,LL14-136,XMM-149,yes,L10,yes,yes,21,~,19,,173,~,68,300,,103,,174,,121,,0.98,4.9
L10-066,01,33,51.67,30,30,59.6,63,2.4,L10-066,LL14-101,XMM-112,yes,G98,yes,yes,21,,64,~,52,~,86,300,,111,,207,,145,,1.17,5.1
L10-090,01,34,03.48,30,44,43.8,45,1.4,L10-090,LL14-131,XMM-144,yes,S93,yes,yes,19,~,51,,505,,,300,,139,,191,,133,,1.08,5.9
L10-116,01,34,23.27,30,54,23.9,46,3.9,L10-116,LL14-166,XMM-179,yes,L10,yes,yes,18,~,71,,239,,,300,,93,,162,,113,,0.92,4.7
